NAME,TEAM,SALARY(M),GP,MPG,PPG,FG_PC,3P_PC,FT_PC,RPG,APG,STPG,BLKPG,POSITION
Anthony Davis,New Orleans Pelicans,5.4,67,35.2,20.8,0.52,0.22,0.79,10,1.6,1.3,2.8,PF
Elliot Williams,Philadelphia 76ers,0.8,67,17.3,6,0.42,0.3,0.73,1.9,1.1,0.5,0,SG
Jimmy Butler,Chicago Bulls,1.1,67,38.7,13.1,0.4,0.28,0.77,4.9,2.6,1.9,0.5,SG
Jeremy Evans,Utah Jazz,1.7,66,18.3,6.1,0.53,0,0.68,4.7,0.7,0.6,0.7,SF
Kawhi Leonard,San Antonio Spurs,1.9,66,29.1,12.8,0.52,0.38,0.8,6.2,2,1.7,0.8,SF
Marvin Williams,Utah Jazz,7.5,66,25.4,9.1,0.44,0.36,0.78,5.1,1.2,0.8,0.5,PF
Pablo Prigioni,New York Knicks,1.6,66,19.4,3.8,0.46,0.46,0.92,2,3.5,1,0,PG
Alonzo Gee,Cleveland Cavaliers,3.3,65,15.7,4,0.42,0.33,0.71,2.3,0.7,0.6,0.2,SF
Amar'e Stoudemire,New York Knicks,21.7,65,22.6,11.9,0.56,0,0.74,4.9,0.5,0.4,0.6,C
Anderson Varejao,Cleveland Cavaliers,9,65,27.7,8.4,0.5,0,0.68,9.7,2.2,1.1,0.6,C
Lavoy Allen,Philadelphia 76ers,3.1,65,16.5,4.7,0.45,0.15,0.66,4.8,1.1,0.4,0.5,PF
Patrick Patterson,Toronto Raptors,3.1,65,23.6,8.5,0.46,0.36,0.7,5.3,1.2,0.9,0.6,PF
Raymond Felton,New York Knicks,3.6,65,31,9.7,0.4,0.32,0.72,3,5.6,1.2,0.4,PG
Deron Williams,Brooklyn Nets,18.5,64,32.2,14.3,0.45,0.37,0.8,2.6,6.1,1.5,0.2,PG
Eric Gordon,New Orleans Pelicans,14.3,64,32.1,15.4,0.44,0.39,0.79,2.6,3.3,1.2,0.2,SG
Jonas Jerebko,Detroit Pistons,4.5,64,11.6,4.2,0.47,0.42,0.73,2.7,0.6,0.3,0.1,PF
Luc Richard Mbah a Moute,Sacramento Kings,4.6,64,15.7,3.5,0.45,0.24,0.69,2.3,0.6,0.5,0.2,PF
Nick Young,Los Angeles Lakers,1.1,64,28.3,17.9,0.44,0.39,0.83,2.6,1.5,0.7,0.2,SF
Tyler Hansbrough,Toronto Raptors,3.2,64,15.3,4.9,0.47,0,0.68,4.5,0.3,0.4,0.3,PF
Alexey Shved,Minnesota Timberwolves,3.2,63,10.5,4,0.32,0.29,0.76,1.3,1.1,0.4,0.3,PG
Andre Iguodala,Golden State Warriors,12.9,63,32.4,9.3,0.48,0.35,0.65,4.7,4.2,1.5,0.3,SG
C.J. Watson,Indiana Pacers,2,63,18.9,6.6,0.44,0.37,0.78,1.6,1.7,1,0.1,PG
Ed Davis,Memphis Grizzlies,3.2,63,15.2,5.7,0.53,0,0.53,4.1,0.4,0.3,0.7,PF
